row,table_column,original,corrupted,error_type,removed_char,position,timestamp
76,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615918
77,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.616027
80,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.616073
81,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.616094
82,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.616114
83,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.616134
92,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616154
93,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616173
96,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616195
97,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616214
100,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616242
101,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616262
104,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616285
105,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616305
108,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616326
109,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616345
114,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616365
115,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616384
118,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.616403
119,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.616423
128,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.616442
129,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.616461
136,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.616484
137,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.616504
140,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.616523
141,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.616542
144,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616562
145,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616581
148,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616600
149,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616618
152,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616637
153,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616656
156,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616674
157,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616693
160,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.616714
161,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.616732
172,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.616752
173,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.616770
178,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.616804
179,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.616824
188,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616843
189,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.616861
190,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.616880
191,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.616899
192,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616918
193,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616937
194,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.616958
195,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.616977
196,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.616996
197,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617015
200,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.617033
201,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.617052
212,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617074
213,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617092
218,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.617111
219,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.617129
220,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.617148
221,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.617166
222,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.617184
223,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.617203
224,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.617221
225,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.617241
230,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.617264
231,relationship_data.parent,ORBOX0015,ORBOX015,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.617283
232,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.617302
233,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.617321
236,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617340
237,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617359
240,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617379
241,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617399
244,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.617418
245,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.617439
254,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617459
255,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617479
262,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.617502
263,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.617522
266,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.617541
267,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.617561
274,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.617581
275,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.617603
278,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617623
279,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617643
282,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617663
283,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617682
286,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.617702
287,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.617722
298,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617741
299,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617762
306,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.617783
307,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.617801
310,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.617820
311,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.617838
314,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617856
315,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.617875
318,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.617893
319,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.617912
322,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617934
323,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617953
326,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617972
327,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.617990
330,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.618009
331,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.618028
342,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.618048
343,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.618068
350,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618086
351,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618105
354,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.618123
355,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.618141
362,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.618159
363,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.618178
364,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618198
365,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618217
366,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618237
367,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618256
370,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618275
371,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618295
372,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618316
373,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618337
374,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.618408
375,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.618442
384,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618464
385,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618485
386,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.618506
387,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.618527
394,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618547
395,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618568
396,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618589
397,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618610
398,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.618630
399,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.618650
402,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618671
403,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618691
404,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618712
405,relationship_data.parent,ORBOX00122,ORBOX0122,Q2_CHAR_MISSING_ORDER_LEVEL,0,6,2025-06-09T19:18:32.618735
406,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.618756
407,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.618777
412,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618798
413,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618819
416,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618839
417,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.618860
432,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.618881
433,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.618902
442,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618922
443,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.618942
448,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.618963
449,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.618983
452,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.619004
453,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.619024
456,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.619044
457,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.619065
460,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.619086
461,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.619106
464,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.619127
465,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.619147
468,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.619168
469,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.619189
480,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.619209
481,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.619230
486,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.619250
487,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.619270
492,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.619292
493,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.619313
498,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.619334
499,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.619354
